ISO3,Country/Region,unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PNG,Papua New Guinea,MtCO2e,29.85,30.9,31.96,32.84,35.89,35.37,49.88,36.17,37,38.02,37.78,38.53,38.5,39.67,38.17,38.19,38.12,37.68,37.87,37.87,45.93,46.6,47.8,49.36,52.14,51.71,51.78,52.89,53.26,51.65
CHL,Chile,MtCO2e,27.71,29.3,31.98,36.05,39.74,46.23,53.42,54.46,57.36,53.38,32.45,33.16,33.86,39.23,39.88,41.14,48.9,53.78,51.29,56.4,17.66,20.06,23.21,15.89,22.01,49.46,51.35,50.16,56.37,49.69
NPL,Nepal,MtCO2e,20.13,19.85,20.66,21.38,22.47,22.48,22.88,23.51,24.84,25.12,22.76,21.87,23.17,23.22,23.94,23.43,23.5,24.93,26.83,28.11,36.07,37.6,38.29,39.68,38.66,45.1,46.12,48.24,48.4,48.48
SYR,Syria,MtCO2e,80.07,85.14,88.77,92.06,95.8,97.66,97.31,100.43,99.88,99.56,99.41,101.35,100.75,93.43,103.38,105.4,108.19,108.76,104.29,103.73,98.57,74.14,51.56,45.61,43.83,43.53,45.71,47.04,47.61,47.12
SLB,Solomon Islands,MtCO2e,4.31,4.32,4.34,4.36,4.37,4.39,4.4,4.42,4.43,4.45,2.25,2.27,2.28,2.31,2.33,2.35,2.37,2.39,2.41,2.43,-17.06,-17.04,-16.99,-17.02,-17.04,46.21,46.24,46.27,46.3,46.25
NER,Niger,MtCO2e,19.1,19.59,20.25,20.75,21.33,22.11,22.78,23.71,24.3,24.82,21.08,21.87,22.77,23.63,24.53,25.46,26.66,27.88,29.22,29.33,30.35,32.39,34.16,35.87,37.07,38.77,40.2,42.06,43.99,46.04
SOM,Somalia,MtCO2e,39,37.05,39.03,40.97,41.63,42.08,42.47,42.31,42.38,42.55,43.09,43.49,43.72,44.02,44.46,43.19,42.09,42.11,42.14,42.34,42.5,42.79,42.92,43.05,43.11,43.14,42.98,42.97,43.47,43.62
MLI,Mali,MtCO2e,17.42,17.5,17.74,18.02,18.4,18.77,19.6,23.82,24.89,23.39,20.46,20.94,21.72,24.07,24.85,25.02,26.03,27.64,27.38,29.1,29.84,30.83,32.02,33.16,34.42,37.82,38.49,39.74,41.16,43.49
LAO,Laos,MtCO2e,19.56,19.86,19.88,20.25,20.3,20.38,20.03,21.76,20.43,20.31,20.85,22.07,22.65,27.45,24.36,23.28,28.64,23.76,25.2,29.22,21.67,23.6,25.01,25.12,29.79,38.18,39.52,39.69,40.5,43.36
DNK,Denmark,MtCO2e,81.57,75.42,78.07,81.77,78.68,92.21,82.54,78.54,75.77,72.07,73.42,72.77,78.28,72.11,68.42,76.07,71.17,67.62,64.68,64.94,57.51,52.39,53.79,49.59,47.57,52.01,49.74,49.18,45.63,43.19
CHE,Switzerland,MtCO2e,54.17,54.1,51.73,50.84,51.76,52.38,50.92,52.48,52.61,51.86,52.62,50.95,52.17,52.66,53.38,53.09,51.17,52.79,51.35,52.92,48.96,50.26,51.29,47.48,46.7,47.18,46.2,44.96,44.74,42.25
GIN,Guinea,MtCO2e,19.34,19.67,20.03,20.44,20.85,20.3,20.73,22.2,21.77,22.21,23.2,24.37,24.62,24.64,26.12,26.46,26.81,27.43,27.88,30.13,31.51,32.81,32.85,33.35,33.97,37.72,38.16,38.42,40.71,41.79
